Ticker,Nome,Negócios,Última (R$),Variação,marketCap,marketCap_date
TGMA3,Tegma,99.200,"25,72","+1,02%",1695920128.0,17/02/2024
PNVL3,Dimed,199.800,"11,35","+1,25%",1685077760.0,17/02/2024
ANIM3,Ânima Educação,6.611.100,"4,46","+5,19%",1683146112.0,17/02/2024
KEPL3,Kepler Weber,764.400,"9,34","+0,54%",1650938368.0,17/02/2024
PETZ3,Petz,13.297.100,"3,55","+0,00%",1600776704.0,17/02/2024
PGMN3,Pague Menos,1.580.500,"2,91","+2,46%",1593629440.0,17/02/2024
VLID3,Valid,416.500,"19,59","+2,35%",1569713536.0,17/02/2024
CEED4,CEEE D,200,"22,00","+1,20%",1562890880.0,17/02/2024
CEED3,CEEE D,100,"22,90","-5,68%",1562890496.0,17/02/2024
SCAR3,São Carlos,400,"27,18","+1,61%",1557946752.0,17/02/2024
MLAS3,Multilaser,1.871.200,"1,91","+2,14%",1552155648.0,17/02/2024
CEBR6,CEB,4.000,"23,15","+0,17%",1538278144.0,17/02/2024
CEBR3,CEB,2.600,"20,36","+3,46%",1538277504.0,17/02/2024
CEBR5,CEB,6.400,"18,55","+3,06%",1538277248.0,17/02/2024
LAVV3,Lavvi Incorporadora,471.500,"7,76","+2,11%",1516567936.0,17/02/2024
CSED3,Cruzeiro do Sul Educacional,962.700,"4,15","+5,60%",1512853504.0,17/02/2024
DESK3,Desktop,486.900,"13,09","+0,23%",1508818816.0,17/02/2024
EVEN3,Even,630.900,"7,57","+1,20%",1503667072.0,17/02/2024
EUCA3,Eucatex,600,"16,30","+1,56%",1488126336.0,17/02/2024
EUCA4,Eucatex,106.200,"16,06","+1,58%",1488125952.0,17/02/2024
LAND3,Terra Santa,33.600,"15,36","+0,52%",1477741056.0,17/02/2024
CVCB3,CVC,12.034.900,"3,15","+0,32%",1398303872.0,17/02/2024
FIQE3,Unifique,213.100,"3,92","+2,89%",1383955968.0,17/02/2024
FRIO3,Metalfrio,4.700,"330,00","+6,45%",1355227520.0,17/02/2024
EMAE4,EMAE,3.000,"60,50","+4,31%",1345622912.0,17/02/2024
SHUL4,Schulz,233.500,"6,43","+0,31%",1314671360.0,17/02/2024
TEND3,Construtora Tenda,2.580.100,"10,54","+4,98%",1297242112.0,17/02/2024
BRIT3,Brisanet,579.900,"2,87","-0,69%",1279288064.0,17/02/2024
TELB3,Telebras,1.500,"15,19","+3,62%",1231530752.0,17/02/2024
TELB4,Telebras,3.400,"10,81","-0,64%",1231529344.0,17/02/2024
COCE5,Coelce,22.000,"41,64","+0,17%",1176442368.0,17/02/2024
VITT3,Vittia,745.300,"8,17","+3,16%",1148889984.0,17/02/2024
DEXP4,Dexxos,1.000,"12,00","-2,83%",1133484032.0,17/02/2024
